  # frame#    Prot_CA   Prot_Backbone  Prot_Sidechain  Prot_All_Heavy Lig_wrt_Protein  Lig_wrt_Ligand
         0      0.000           0.000           0.000           0.000           0.000           0.000
         1      1.016           1.035           1.621           1.226           0.513           0.293
         2      1.180           1.193           1.806           1.414           1.064           0.461
         3      1.309           1.332           1.987           1.582           0.906           0.371
         4      1.370           1.384           2.070           1.672           1.501           0.613
         5      1.293           1.301           2.054           1.618           1.400           0.423
         6      1.225           1.245           2.035           1.560           1.294           0.367
         7      1.435           1.442           2.225           1.764           1.409           0.360
         8      1.472           1.485           2.196           1.744           1.888           0.347
         9      1.249           1.259           2.081           1.576           1.452           0.477
        10      1.357           1.378           2.158           1.668           1.391           0.425
        11      1.378           1.404           2.115           1.665           1.213           0.296
        12      1.325           1.352           2.102           1.644           1.327           0.450
        13      1.386           1.404           2.197           1.713           1.169           0.350
        14      1.341           1.358           2.145           1.669           1.524           0.519
        15      1.294           1.326           2.086           1.617           1.796           0.520
        16      1.360           1.389           2.108           1.662           1.569           0.383
        17      1.495           1.505           2.254           1.799           1.910           0.594
        18      1.721           1.741           2.382           1.970           1.604           0.419
        19      1.571           1.590           2.248           1.852           1.656           0.443
        20      1.511           1.539           2.238           1.815           1.659           0.411
        21      1.624           1.645           2.352           1.922           1.891           0.386
        22      1.637           1.643           2.365           1.910           1.643           0.314
        23      1.603           1.610           2.394           1.930           2.295           0.515
        24      1.506           1.522           2.336           1.873           1.387           0.253
        25      1.500           1.523           2.256           1.808           1.723           0.396
        26      1.440           1.464           2.340           1.838           1.563           0.403
        27      1.463           1.495           2.298           1.807           1.417           0.290
        28      1.452           1.474           2.285           1.800           2.066           0.427
        29      1.353           1.383           2.235           1.712           1.724           0.436
        30      1.438           1.458           2.306           1.807           1.862           0.222
        31      1.463           1.493           2.337           1.845           1.750           0.363
        32      1.507           1.513           2.346           1.841           1.913           0.255
        33      1.413           1.440           2.353           1.802           2.220           0.337
        34      1.373           1.386           2.319           1.777           2.126           0.275
        35      1.213           1.235           2.168           1.610           1.620           0.243
        36      1.297           1.334           2.204           1.686           1.676           0.279
        37      1.252           1.285           2.199           1.644           2.048           0.565
        38      1.326           1.355           2.237           1.703           1.561           0.320
        39      1.331           1.369           2.266           1.723           2.140           0.274
        40      1.236           1.263           2.216           1.639           1.560           0.363
        41      1.256           1.280           2.218           1.652           1.622           0.308
        42      1.391           1.416           2.333           1.781           1.825           0.350
        43      1.239           1.261           2.250           1.664           2.018           0.651
