## Torsion are defined with the following atomIDs:
# dihed1: ai= 5185 aj= 3156 ak= 3178 al= 3155
# dihed2: ai= 3156 aj= 3178 ak= 3153 al= 3169
# dihed3: ai= 3152 aj= 3167 ak= 3166 al= 3165
# dihed4: ai= 3170 aj= 3168 ak= 3172 al= 3175
# dihed5: ai= 3162 aj= 3161 ak= 3157 al= 3151
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5
129   78.525  177.944   62.755  144.564  -54.626
130   84.872  178.835   66.543  141.059  -65.609
131   68.979  176.135   60.015  146.836  -62.076
132   85.429  176.413   71.962  142.384  -58.871
133   77.641  177.365   57.413  150.070  -55.657
134   95.982  174.990   75.930  135.387  -69.847
135   72.589  175.227   68.747  123.577  -64.965
136   68.905 -178.110   46.964  138.426  -49.199
137   58.680 -169.981   64.174  143.634  -65.172
138   70.867  176.221   56.592  144.052  -43.415
139   77.085  178.711   60.870  133.631  -57.401
140   78.838  178.497   62.542  137.227  -61.507
141   66.754 -179.714   69.943  154.180  -66.765
142   52.276 -166.776   66.941  123.524  -72.398
143   77.149  170.664   70.382  151.392  -70.077
144   71.897 -173.455   63.395  143.869  -69.262
145   74.712 -174.539   71.419  149.075  -58.203
146   49.080 -168.126   63.399  133.731  -56.670
147   53.398 -164.803   77.253  142.978  -68.479
148   58.024 -172.123   63.157  147.982  -54.218
149   54.460  174.133   77.616  132.204  -73.377
150   45.555  173.239   67.385  147.457  -64.914
151   31.301 -172.968   60.248  165.958  -61.720
152   35.248 -169.784   71.615  150.883  -76.596
153   57.239 -167.905   75.787  141.230  -56.286
154   56.079 -165.214   84.654  144.711  -63.233
155   61.741 -158.531   66.013  145.197  -68.772
156   42.240 -173.643   54.103  159.253  -73.908
157   42.810 -168.476   82.421  148.835  -81.825
158   41.536 -146.493   61.615  147.030  -64.405
159   49.644 -166.922   60.067  156.147  -74.411
160   37.187 -155.969   74.793  143.185  -67.885
161   49.935 -172.465   76.769  149.524  -61.434
162   56.732 -158.337   69.153  148.750  -66.124
163   27.220 -167.862   91.175  140.669  -53.475
164   51.037 -171.062   62.850  145.307  -62.689
165   46.159 -163.415   69.170  146.447  -64.664
166   44.553 -158.040   71.100  145.525  -56.314
167   39.562 -176.488   60.546  141.825  -56.792
168   30.873 -178.070   69.906  147.134  -62.230
169    1.709 -152.488   62.892  141.492  -66.392
170   42.218  171.550   93.568  126.397  -79.271
171   34.155 -179.084   63.844  138.263  -69.065
172   69.197  174.471   68.009  158.324  -45.888
173   28.919  178.923   65.955  132.803  -59.750
174   32.388 -177.433   62.909  159.053  -59.593
175   49.330 -166.573   77.649  128.971  -60.387
176   42.525 -164.624   85.004  141.642  -69.666
177   41.851 -171.890   72.184  150.975  -55.197
178  -50.150  -87.460   75.031  144.013  -61.624
179  -38.384 -150.522   70.887  129.449  -56.065
180  -43.320 -110.767   81.727  140.569  -59.862
181  -32.277 -159.155   54.322  141.080  -61.180
182  -54.226 -158.328   75.402  132.789  -64.392
183  -48.099 -158.819   58.977  137.331  -67.220
184  -48.462 -163.267   61.697  150.617  -77.312
185  -27.153 -154.566   83.687  156.876  -64.216
186  -43.258  -99.297   59.327  140.281  -62.597
187  -69.146 -137.538   75.961  137.242  -55.723
188  -61.859 -121.232   93.402  148.286  -64.964
189  -57.424 -125.855   85.081  131.047  -63.623
190  -37.805 -105.047   69.699  146.103  -50.718
191  -54.508 -107.715   85.292  134.369  -52.591
192  -55.035 -121.055   75.577  140.230  -65.571
193  -67.158  -99.715   71.756  143.783  -50.113
194  -64.096 -129.037   67.234  133.263  -59.202
195  -42.453 -153.337   77.941  150.315  -59.989
196  -48.294 -143.123   64.047  153.119  -49.365
197  -44.002 -141.088   72.630  145.130  -60.348
198  -46.224 -150.850   60.263  151.535  -54.994
199  -55.428 -152.867   65.313  130.246  -54.834
200  -60.445 -129.783   62.632  143.228  -68.229
201  -62.126 -152.727   73.179  152.763  -64.269
202  -45.932 -146.004   84.357  142.186  -64.381
203  -56.748 -141.027   79.616  155.079  -50.405
204  -64.052 -127.479   66.461  153.513  -70.558
205  -41.671  -98.605   84.028  134.325  -60.365
206  -46.616  -91.888   93.456  145.720  -59.693
207  -41.755 -121.718   73.561  152.279  -60.703
208  -61.824 -115.707  105.955  138.271  -69.297
209  -43.828 -123.230   69.523  143.248  -70.404
210  -37.213 -113.083   51.324  139.781  -60.511
211  -40.270  -99.328   74.081  133.243  -72.895
212  -68.649 -122.174   95.060  137.854  -63.142
213  -58.838 -126.286   73.340  141.841  -60.450
214  -53.474 -123.559   58.690  145.358  -41.066
215  -59.921  -98.031   86.375  144.735  -65.820
216  -55.901 -117.542   70.566  150.772  -63.697
217  -71.364 -108.054   77.186  141.466  -73.319
218  -49.576 -103.924   72.518  153.060  -59.974
219  -59.405 -112.993   87.359  126.411  -52.242
220  -57.037 -114.616   86.730  149.808  -74.661
221  -47.601 -117.916   72.426  142.410  -58.220
222  -54.507 -119.521   89.758  133.306  -46.436
223  -60.534 -111.216   76.963  146.391  -50.138
224  -59.587 -127.046   89.074  148.493  -59.281
225  -47.692 -127.880   68.177  153.004  -65.601
226  -59.245 -118.004   81.624  143.118  -55.518
227  -59.063 -133.860   75.375  133.648  -52.332
228  -31.608 -113.734   87.085  154.561  -62.469
229  -55.798 -112.005   79.367  138.892  -62.141
230  -41.827 -104.096   85.918  127.157  -57.911
231  -56.210 -121.792   74.636  144.887  -45.205
232  -44.455  -93.408   88.565  135.140  -61.207
233  -45.966 -102.376   57.012  148.604  -62.571
234  -69.548 -113.180   83.574  144.192  -57.590
235  -58.892 -120.066   85.138  144.855  -59.583
236  -51.493 -119.116   52.939  146.491  -79.211
237  -47.473  -96.550   91.781  141.813  -42.642
238  -55.674 -115.464   66.727  144.812  -53.228
239  -41.806 -111.983   79.592  153.798  -69.183
240  -53.051 -116.832   75.065  147.984  -62.432
241  -44.204 -115.475   79.824  148.931  -61.791
