  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      126        0.301        4.632            0      422.495      242.374      208.491
      127        0.499        4.653            0      422.185      282.482      207.113
      128        0.469        4.607            0      419.054      257.248      207.197
      129        0.368        4.656            0      425.756      279.520      209.113
      130        0.342        4.627            0      419.977      257.583      206.793
      131        0.581        4.614            0      422.649      257.892      204.167
      132        0.398        4.665            0      425.096      280.058      211.546
      133        0.445        4.670            0      425.555      270.543      205.880
      134        0.466        4.680            0      427.512      273.103      208.481
      135        0.446        4.613            0      418.214      302.003      204.302
      136        0.411        4.641            0      426.200      272.961      210.475
      137        0.473        4.623            0      421.994      273.599      208.961
      138        0.348        4.648            0      426.307      288.168      206.758
      139        0.551        4.671            0      425.155      274.541      208.918
      140        0.511        4.682            0      427.613      239.871      208.229
      141        0.528        4.632            0      423.505      291.064      208.997
      142        0.529        4.613            0      420.051      250.461      204.834
      143        0.540        4.652            0      424.892      273.903      206.519
      144        0.524        4.705            0      429.557      263.930      209.521
      145        0.420        4.704            0      431.164      249.656      213.280
      146        0.360        4.642            0      426.645      247.119      206.141
      147        0.543        4.604            0      420.478      294.877      210.031
      148        0.340        4.641            0      424.404      293.369      210.102
      149        0.369        4.628            0      420.527      283.580      204.964
      150        0.601        4.615            0      422.486      269.458      212.505
      151        0.462        4.656            1      424.672      225.545      208.921
      152        0.537        4.709            0      427.657      264.304      207.030
      153        0.581        4.683            0      427.561      219.698      208.079
      154        0.560        4.590            0      422.225      228.007      212.134
      155        0.497        4.664            0      427.940      237.606      212.506
      156        0.616        4.604            0      423.853      233.425      206.450
      157        0.664        4.652            0      426.762      225.589      211.796
      158        0.514        4.612            0      423.138      215.714      211.566
      159        0.575        4.629            0      422.903      257.505      213.431
      160        0.606        4.666            0      425.086      259.045      204.674
      161        0.610        4.640            0      422.952      240.263      206.850
      162        0.644        4.649            0      423.734      258.262      213.918
      163        0.655        4.669            1      424.433      252.124      205.708
      164        0.533        4.610            0      422.661      268.807      210.826
      165        0.439        4.616            0      422.855      232.880      210.486
      166        0.732        4.623            0      426.958      233.191      212.355
      167        0.555        4.638            0      424.154      214.202      207.609
      168        0.680        4.574            0      423.045      220.235      201.629
      169        0.533        4.659            1      425.458      237.763      202.088
      170        0.714        4.718            0      433.530      236.107      205.984
      171        0.525        4.641            1      424.879      253.066      208.651
