  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      554        0.725        4.705            0      424.070      381.546      203.311
      555        0.626        4.716            1      425.816      362.745      201.395
      556        0.729        4.707            0      425.120      349.846      202.604
      557        0.595        4.648            0      426.266      345.113      203.223
      558        0.733        4.713            1      425.309      355.284      201.011
      559        0.655        4.689            0      421.255      348.225      202.903
      560        0.748        4.646            0      421.744      389.268      202.947
      561        0.673        4.700            1      425.592      361.309      203.434
      562        0.685        4.675            0      423.514      335.304      205.170
      563        0.599        4.723            1      426.883      303.344      197.033
      564        0.782        4.710            0      428.413      295.229      200.040
      565        0.575        4.707            1      422.429      339.190      204.714
      566        0.824        4.673            0      427.125      347.446      201.642
      567        0.815        4.709            1      424.999      366.169      202.654
      568        0.712        4.729            1      427.764      294.921      203.675
      569        0.809        4.659            0      429.134      357.617      206.951
      570        0.792        4.774            1      432.318      350.312      196.075
      571        0.635        4.644            0      422.512      352.398      203.422
      572        0.689        4.725            0      427.908      308.407      204.713
      573        0.853        4.686            0      423.489      307.426      200.679
      574        0.645        4.736            0      427.633      324.372      199.080
      575        0.691        4.677            0      424.870      328.410      205.893
      576        0.685        4.689            0      422.121      333.932      206.671
      577        0.654        4.718            1      426.052      347.296      200.599
      578        0.662        4.705            0      424.091      323.409      200.688
      579        0.821        4.711            0      424.469      301.055      200.207
      580        0.686        4.700            1      421.716      343.543      202.732
      581        0.701        4.712            1      424.274      340.157      199.386
      582        0.684        4.680            1      421.067      287.868      198.997
      583        0.767        4.734            1      428.085      307.544      201.383
      584        0.728        4.722            0      426.848      326.182      201.878
      585        0.600        4.663            0      423.316      340.760      203.461
      586        0.686        4.700            1      425.322      318.377      203.946
      587        0.735        4.732            1      423.649      297.692      200.959
      588        0.681        4.738            0      427.216      308.947      204.933
      589        0.648        4.745            1      427.673      339.937      207.725
      590        0.794        4.678            1      419.690      319.109      201.456
      591        0.681        4.729            1      426.265      329.253      196.980
      592        0.690        4.705            0      424.691      335.431      193.798
      593        0.699        4.721            1      426.805      315.989      197.574
      594        0.746        4.719            0      426.610      334.015      199.112
      595        0.758        4.670            0      424.060      294.878      205.860
      596        0.725        4.740            1      425.554      315.607      201.937
      597        0.724        4.722            1      429.857      309.209      198.003
      598        0.731        4.742            0      428.272      322.804      208.796
      599        0.681        4.677            0      421.455      269.521      203.077
      600        0.808        4.782            0      432.861      340.658      202.046
      601        0.818        4.727            1      427.987      354.887      203.998
      602        0.748        4.712            1      425.392      318.174      200.556
      603        0.900        4.693            0      428.526      270.552      207.615
      604        0.746        4.731            1      430.967      291.595      201.540
      605        0.771        4.664            1      424.642      296.222      199.680
      606        0.808        4.674            1      424.533      264.823      204.226
      607        0.868        4.728            0      428.683      316.899      205.398
      608        0.794        4.634            1      417.667      285.652      204.017
      609        0.751        4.636            0      422.372      317.164      200.611
      610        0.705        4.681            0      424.936      316.012      205.191
      611        0.916        4.684            0      427.072      284.014      203.015
      612        0.791        4.647            0      424.759      307.385      200.213
      613        0.722        4.664            1      424.384      289.900      203.933
      614        0.868        4.659            0      425.372      271.438      208.638
      615        0.871        4.654            0      422.902      270.496      204.360
      616        0.981        4.665            0      425.401      255.805      204.213
      617        0.747        4.692            1      423.609      285.834      199.952
      618        0.675        4.691            0      425.500      223.148      205.647
      619        0.770        4.683            1      427.415      274.101      196.210
      620        0.664        4.706            0      425.647      281.276      203.271
      621        0.833        4.706            0      426.298      270.087      203.767
      622        0.719        4.627            0      419.440      262.781      203.209
      623        0.754        4.675            0      423.124      305.037      201.014
      624        0.714        4.656            0      421.426      290.948      198.261
      625        0.924        4.700            0      428.849      299.245      208.529
      626        0.940        4.713            1      430.624      298.422      203.859
      627        0.678        4.693            1      424.799      314.568      207.448
      628        0.654        4.756            1      428.051      332.393      196.343
      629        0.708        4.704            1      423.274      305.260      200.635
      630        0.835        4.657            1      423.857      335.213      203.252
      631        0.891        4.675            0      426.672      340.163      198.968
      632        0.859        4.670            1      423.187      296.229      199.871
      633        0.716        4.684            1      421.534      316.301      207.287
      634        0.765        4.705            1      428.031      304.599      197.374
      635        0.774        4.653            0      424.905      297.462      203.006
      636        0.841        4.719            1      428.789      288.141      203.772
      637        0.718        4.752            1      429.668      286.799      203.486
      638        0.754        4.682            1      425.656      286.140      200.166
      639        0.885        4.670            1      429.636      307.569      203.807
      640        0.817        4.709            1      427.926      271.491      203.880
      641        0.811        4.690            0      422.001      224.515      204.754
      642        0.780        4.694            0      427.589      272.255      203.633
      643        0.803        4.637            0      425.917      273.183      208.178
      644        0.897        4.694            0      425.038      257.413      204.304
      645        0.836        4.689            0      423.911      243.523      203.321
      646        0.757        4.734            0      427.423      273.136      203.294
      647        0.967        4.653            1      426.625      301.295      203.505
      648        0.833        4.733            1      427.362      306.196      204.870
      649        0.787        4.645            1      424.327      304.643      205.798
      650        0.781        4.694            0      431.559      302.349      208.216
      651        0.831        4.738            0      428.160      349.160      204.624
      652        0.762        4.677            0      425.348      310.925      203.874
      653        0.704        4.684            1      423.011      298.518      197.210
      654        0.895        4.683            0      425.933      277.924      199.575
      655        0.765        4.708            1      426.829      294.761      198.249
      656        0.745        4.682            1      424.878      345.199      202.395
      657        0.784        4.677            0      423.426      318.550      199.432
      658        0.688        4.678            0      423.331      309.136      203.837
      659        0.721        4.630            0      419.247      316.642      199.368
      660        0.797        4.732            0      431.179      289.982      202.174
      661        0.889        4.713            1      430.236      327.179      203.243
      662        0.856        4.684            1      426.114      361.565      200.668
      663        0.633        4.633            1      420.128      325.431      195.736
      664        0.796        4.639            0      424.315      336.590      203.941
      665        0.885        4.728            0      432.415      369.856      209.665
      666        0.706        4.745            1      429.265      317.224      201.039
      667        0.733        4.704            1      423.782      318.569      198.352
      668        0.797        4.712            1      426.156      292.310      200.186
      669        0.736        4.708            0      426.786      298.958      206.080
      670        0.675        4.688            0      422.904      323.124      202.644
      671        0.724        4.693            0      426.118      315.604      204.512
      672        0.764        4.749            1      430.239      321.728      198.335
      673        0.752        4.679            1      424.984      314.716      206.642
      674        0.808        4.680            1      426.873      303.891      199.750
      675        0.721        4.702            0      423.511      342.024      200.399
      676        0.575        4.694            1      422.553      353.424      198.767
      677        0.615        4.674            1      421.611      382.500      204.084
      678        0.510        4.683            1      423.379      416.857      198.242
      679        0.621        4.716            0      425.184      343.950      204.171
      680        0.570        4.675            1      422.691      348.425      201.179
      681        0.653        4.682            1      418.813      331.846      194.295
      682        0.592        4.678            0      421.369      324.109      199.953
      683        0.627        4.752            0      428.121      323.708      202.466
      684        0.674        4.682            1      423.622      315.776      201.209
      685        0.757        4.702            0      424.470      368.352      203.952
      686        0.684        4.663            1      422.179      323.907      199.026
      687        0.687        4.706            0      424.306      316.575      203.206
      688        0.715        4.675            0      425.469      344.040      203.689
      689        0.756        4.748            0      428.429      323.608      200.533
      690        0.735        4.678            0      424.806      308.614      203.343
      691        0.720        4.683            1      422.949      339.614      198.058
      692        1.127        4.651            0      421.033      225.197      198.132
      693        0.990        4.648            1      418.733      219.430      196.287
      694        0.929        4.634            0      416.943      246.463      202.666
      695        0.974        4.633            0      424.440      238.841      206.553
      696        0.985        4.667            0      423.231      227.406      203.626
      697        0.847        4.646            1      423.746      226.934      199.522
      698        1.067        4.660            0      421.213      231.276      197.395
      699        0.995        4.670            0      418.229      219.650      202.967
      700        0.937        4.627            0      420.923      254.015      205.855
      701        0.928        4.654            0      419.123      231.625      196.622
      702        1.058        4.706            0      425.370      264.107      200.751
      703        1.052        4.708            0      422.888      252.447      203.359
      704        1.008        4.694            1      421.960      218.055      196.986
      705        0.986        4.657            1      421.401      258.759      202.777
      706        0.962        4.732            0      429.180      256.223      197.809
      707        0.955        4.666            0      421.062      261.312      199.970
      708        0.993        4.689            0      421.776      259.816      193.285
      709        0.939        4.713            1      421.429      285.620      200.871
      710        1.004        4.684            0      423.717      276.785      199.856
      711        1.112        4.574            0      417.392      279.252      198.167
      712        1.095        4.637            0      420.380      239.352      202.609
      713        1.103        4.621            0      416.872      242.104      202.778
      714        0.828        4.645            1      417.766      283.613      201.489
      715        0.962        4.616            0      417.130      287.613      199.357
      716        1.097        4.693            0      422.425      269.778      197.120
      717        0.952        4.722            1      425.563      268.162      198.608
      718        1.138        4.668            1      418.448      290.249      197.108
      719        0.963        4.647            1      418.292      221.649      202.359
      720        0.987        4.620            1      417.386      230.684      198.183
      721        1.041        4.703            0      420.425      251.274      198.594
      722        0.957        4.669            0      422.960      250.900      200.964
      723        0.950        4.689            0      424.340      250.521      199.822
      724        0.904        4.624            1      420.168      270.834      199.414
      725        0.993        4.658            0      421.263      289.105      199.889
      726        1.013        4.721            1      426.328      266.511      204.392
      727        0.974        4.633            0      419.434      274.985      200.868
      728        0.987        4.703            0      423.662      264.541      200.954
      729        0.987        4.666            0      418.305      263.467      203.705
      730        0.913        4.690            1      424.162      274.859      199.356
      731        0.999        4.619            0      413.452      250.222      198.891
      732        1.049        4.665            1      418.755      266.048      198.176
      733        1.016        4.702            0      422.582      285.799      198.321
      734        0.976        4.610            1      420.228      271.250      200.500
      735        0.992        4.680            1      420.620      241.391      197.501
      736        0.933        4.674            1      423.396      258.724      200.390
      737        0.981        4.671            0      419.856      298.095      202.247
      738        0.983        4.690            0      422.656      256.052      200.800
      739        0.881        4.672            0      422.753      290.433      204.717
      740        1.051        4.704            0      422.538      268.348      195.382
      741        0.986        4.662            0      422.356      239.404      202.955
      742        0.969        4.660            1      419.377      258.351      197.990
      743        0.903        4.632            1      418.221      254.444      199.178
      744        0.980        4.650            0      417.329      268.833      195.569
      745        0.956        4.722            0      425.863      273.031      201.311
      746        0.957        4.652            0      419.599      264.948      200.703
      747        1.027        4.668            1      421.455      260.421      203.227
      748        0.921        4.627            0      422.537      256.035      200.493
      749        1.070        4.673            0      419.022      262.396      197.757
      750        1.017        4.698            0      420.831      243.003      199.546
      751        0.911        4.633            1      418.715      252.520      199.492
      752        0.998        4.631            0      415.751      266.976      202.422
      753        0.928        4.644            0      419.650      259.696      202.091
      754        0.914        4.693            1      423.687      282.855      201.117
      755        1.035        4.615            0      418.168      254.238      203.285
      756        1.059        4.627            0      415.791      239.908      198.287
      757        1.099        4.637            0      414.370      243.122      193.586
      758        1.024        4.613            0      417.116      289.580      200.768
      759        0.984        4.677            0      419.945      270.717      192.402
      760        1.082        4.628            0      417.117      237.321      198.139
      761        0.909        4.583            0      417.816      247.748      198.252
      762        0.955        4.677            1      421.938      252.616      198.827
      763        0.982        4.682            1      423.014      276.668      200.479
      764        0.907        4.615            0      415.212      246.424      203.081
      765        0.978        4.714            0      422.879      272.739      197.317
      766        0.923        4.693            0      422.751      253.639      200.176
      767        1.073        4.666            1      415.230      213.840      200.548
      768        1.020        4.643            0      415.185      254.670      195.689
      769        0.932        4.679            0      422.350      247.820      199.544
      770        0.929        4.638            0      418.429      262.427      194.989
      771        0.910        4.657            1      421.061      223.219      196.223
      772        0.944        4.691            1      420.201      242.189      198.355
      773        0.903        4.668            0      419.996      256.992      201.907
      774        0.931        4.632            0      416.835      282.123      194.618
      775        0.898        4.704            0      421.013      240.504      195.156
      776        0.879        4.669            0      422.938      233.022      199.531
      777        0.933        4.651            0      417.881      266.154      198.872
      778        0.956        4.682            0      421.314      242.319      200.632
      779        0.914        4.694            0      424.078      254.463      204.454
      780        1.072        4.683            0      424.957      221.605      196.092
      781        0.952        4.668            0      422.620      242.070      196.784
      782        1.022        4.654            1      421.413      250.001      199.762
      783        1.000        4.672            0      420.485      232.462      197.159
      784        0.891        4.643            0      421.868      249.808      203.237
      785        1.075        4.660            1      421.060      247.805      190.240
      786        1.013        4.710            0      421.497      235.417      202.951
      787        0.929        4.591            0      414.974      240.421      198.182
      788        0.958        4.738            0      424.135      275.807      200.474
      789        0.963        4.634            0      417.945      246.262      197.278
      790        0.978        4.647            0      418.874      249.598      198.145
      791        0.900        4.715            0      427.057      261.051      206.468
      792        0.925        4.699            0      420.948      269.935      205.487
      793        0.884        4.701            0      422.033      235.705      199.432
      794        0.945        4.712            1      425.514      250.869      203.208
      795        0.946        4.715            0      427.029      240.810      204.759
      796        0.948        4.643            1      419.854      237.392      201.100
      797        1.009        4.628            0      418.053      242.595      198.039
      798        0.978        4.678            0      422.612      253.529      199.226
      799        0.960        4.741            1      425.462      253.299      195.286
      800        0.980        4.665            0      418.803      270.367      199.393
      801        0.935        4.654            1      418.209      251.922      195.440
      802        0.935        4.642            0      424.147      240.512      201.237
      803        0.977        4.639            0      416.041      248.765      198.345
      804        0.928        4.639            0      414.664      236.370      190.585
      805        0.982        4.622            0      410.788      233.143      195.888
      806        0.990        4.629            0      415.655      235.462      194.436
      807        1.042        4.614            0      409.544      223.153      193.014
      808        0.920        4.651            0      418.750      247.798      195.752
      809        0.992        4.618            0      416.212      236.481      201.424
      810        0.906        4.658            0      422.220      255.384      201.780
      811        1.055        4.682            0      423.434      241.913      199.979
      812        0.958        4.681            0      421.935      234.359      204.164
      813        0.967        4.706            0      423.777      236.709      199.279
      814        0.971        4.679            0      417.922      241.709      194.311
      815        0.976        4.694            0      423.956      243.885      199.987
      816        0.838        4.653            0      422.105      243.091      200.376
      817        1.083        4.685            0      419.347      241.985      197.588
      818        1.059        4.708            0      425.707      238.778      200.931
      819        1.049        4.679            0      419.621      260.014      198.414
      820        1.081        4.656            0      417.149      212.164      197.710
      821        0.999        4.675            0      420.013      248.796      198.825
      822        0.997        4.669            0      421.937      251.140      196.264
      823        1.012        4.723            0      425.917      233.255      203.121
      824        1.047        4.684            0      422.381      249.016      195.405
      825        0.949        4.687            1      421.921      247.180      197.526
      826        1.030        4.710            0      422.206      263.764      203.669
      827        0.969        4.673            0      422.787      230.939      202.932
      828        0.880        4.722            0      426.494      248.301      201.843
      829        0.939        4.641            0      417.227      240.756      192.782
      830        0.870        4.672            0      425.464      266.700      199.209
      831        0.928        4.695            0      425.654      251.820      200.873
      832        1.016        4.711            1      423.876      247.653      199.407
      833        0.868        4.714            0      424.176      262.067      203.159
      834        0.889        4.656            0      422.840      254.628      201.824
      835        0.797        4.696            0      424.750      236.127      199.098
      836        0.853        4.689            0      420.958      255.837      198.377
      837        0.899        4.684            0      424.337      275.751      204.351
      838        0.933        4.674            0      423.888      288.190      204.756
      839        0.936        4.690            1      420.878      243.378      200.809
      840        0.917        4.716            0      421.745      261.106      201.506
      841        0.909        4.671            0      421.236      263.790      198.634
      842        0.983        4.696            0      423.332      268.163      201.405
      843        1.040        4.641            0      417.996      282.644      197.457
      844        1.080        4.692            0      422.146      289.676      199.964
      845        1.040        4.691            1      422.764      300.763      200.795
      846        1.136        4.627            0      415.409      321.997      190.799
      847        0.983        4.638            0      418.664      301.338      192.277
      848        1.081        4.683            0      422.724      320.476      195.652
      849        1.048        4.665            0      420.934      305.065      189.263
      850        0.965        4.714            0      425.655      301.166      202.417
      851        1.020        4.626            1      415.840      284.538      190.476
      852        1.053        4.626            0      418.170      259.108      195.980
      853        1.010        4.611            0      418.315      263.171      199.340
      854        1.172        4.651            0      416.221      259.819      195.065
      855        1.015        4.678            1      418.472      269.153      189.738
      856        0.951        4.619            0      421.575      276.293      204.185
      857        1.054        4.663            0      415.687      242.789      189.116
      858        1.017        4.715            0      427.445      268.176      203.284
      859        0.961        4.720            0      427.725      270.746      202.047
      860        0.966        4.648            0      417.620      257.147      199.409
      861        0.983        4.656            1      418.366      266.655      188.868
      862        0.960        4.687            1      423.418      264.897      198.181
      863        1.054        4.644            0      416.813      256.188      198.129
      864        1.065        4.720            0      422.641      240.209      199.941
      865        0.988        4.667            1      418.098      222.664      196.894
      866        0.980        4.705            0      425.211      244.241      206.265
      867        1.017        4.683            0      417.628      228.494      200.448
      868        1.010        4.696            0      422.139      265.424      202.970
      869        0.942        4.641            0      421.574      289.367      205.376
      870        0.986        4.644            0      419.324      244.940      203.327
      871        1.015        4.687            0      420.777      278.668      201.462
      872        0.965        4.676            0      422.654      288.709      197.886
      873        0.917        4.707            0      426.931      283.641      205.713
      874        1.152        4.692            0      421.551      281.145      198.243
      875        1.052        4.649            0      420.189      246.842      196.239
      876        1.023        4.671            0      419.041      260.565      195.998
      877        0.919        4.743            0      427.395      271.398      199.072
      878        1.046        4.706            0      422.562      246.135      201.031
      879        0.950        4.678            0      423.106      246.609      204.260
      880        1.041        4.713            1      420.419      281.133      196.017
      881        1.044        4.676            1      420.535      262.761      199.231
      882        1.037        4.682            1      423.793      268.405      200.441
      883        0.966        4.692            1      422.217      252.688      202.615
      884        1.004        4.671            0      420.579      252.050      199.448
      885        1.004        4.733            0      423.984      254.623      198.101
      886        1.006        4.703            0      420.247      256.793      197.548
      887        0.886        4.699            1      426.147      275.412      202.360
      888        0.905        4.652            0      419.637      270.016      201.074
      889        1.161        4.702            1      424.185      274.586      199.414
      890        1.120        4.746            0      428.474      263.675      206.269
      891        1.047        4.676            0      420.096      241.771      194.792
      892        1.040        4.699            0      424.688      282.717      199.337
      893        1.001        4.692            0      422.675      286.518      198.394
      894        1.049        4.672            0      422.528      293.445      206.442
      895        1.096        4.622            1      419.206      325.044      199.439
      896        1.122        4.643            0      417.392      321.164      203.020
      897        1.102        4.653            1      415.235      296.932      193.257
      898        1.122        4.666            0      416.120      310.399      192.346
      899        1.142        4.650            0      418.802      299.766      197.184
      900        1.007        4.668            0      421.082      288.657      196.934
      901        1.006        4.630            0      419.370      296.549      199.970
      902        1.168        4.655            1      418.078      318.576      192.587
      903        0.980        4.651            1      420.765      318.998      195.499
      904        1.057        4.686            0      423.129      324.110      200.202
      905        0.967        4.634            1      418.276      309.448      192.040
      906        1.064        4.666            0      422.522      315.213      199.280
      907        1.081        4.652            1      417.515      302.093      195.875
      908        1.058        4.704            0      426.015      286.606      202.483
      909        0.928        4.680            0      419.690      272.940      195.566
      910        1.048        4.735            0      425.055      283.294      198.815
      911        1.134        4.627            1      420.031      296.343      200.366
      912        1.004        4.658            1      419.324      284.728      199.551
      913        0.869        4.652            1      422.669      280.843      202.522
      914        1.042        4.669            0      419.100      280.572      202.215
      915        0.991        4.710            0      427.026      248.326      199.482
      916        0.941        4.674            0      421.695      275.626      200.943
      917        0.977        4.672            0      422.313      285.985      195.360
      918        1.000        4.667            0      420.353      265.887      200.960
      919        1.031        4.653            0      417.865      246.938      195.735
      920        0.936        4.664            0      422.366      223.394      202.502
      921        0.969        4.662            0      419.730      236.754      201.530
      922        0.911        4.641            0      420.875      220.358      203.481
      923        0.955        4.639            0      419.260      233.364      200.519
      924        0.945        4.634            0      415.816      220.418      196.347
      925        1.026        4.669            1      421.285      250.402      198.215
      926        1.055        4.628            1      418.116      267.357      199.249
      927        0.876        4.696            0      421.661      252.392      195.416
      928        0.961        4.643            0      419.267      254.224      197.329
      929        1.013        4.656            0      421.821      253.036      205.082
      930        0.974        4.694            0      421.000      267.714      201.334
      931        1.045        4.688            1      423.172      262.375      200.920
      932        0.973        4.703            0      420.888      257.946      200.258
      933        1.060        4.657            0      420.382      286.624      200.735
      934        0.860        4.700            0      422.547      270.936      203.193
      935        0.962        4.717            0      423.813      298.654      196.913
      936        1.030        4.665            0      420.328      288.540      201.079
      937        0.996        4.697            1      424.876      285.430      202.382
      938        1.091        4.694            0      421.747      274.752      201.845
      939        1.138        4.746            0      423.507      322.724      199.070
      940        1.127        4.693            1      422.173      297.177      197.884
      941        1.092        4.620            0      420.128      298.255      205.507
      942        1.091        4.640            0      415.637      262.388      202.256
      943        1.000        4.643            0      418.282      302.634      197.857
      944        1.105        4.668            1      417.495      317.354      195.420
      945        1.121        4.686            1      422.044      297.062      196.047
      946        1.043        4.674            0      420.291      276.389      201.161
      947        1.053        4.677            0      420.027      287.857      198.915
      948        1.041        4.655            0      417.319      274.722      197.094
      949        0.980        4.673            0      421.955      279.829      198.449
      950        0.989        4.640            1      416.986      291.780      200.587
      951        0.999        4.686            1      420.413      267.913      198.124
      952        1.033        4.650            0      418.913      285.985      204.519
      953        1.112        4.647            0      416.554      290.603      196.434
      954        1.140        4.671            0      421.743      257.056      203.230
      955        0.983        4.669            1      421.015      252.090      201.058
      956        1.075        4.644            1      417.959      278.128      193.529
      957        1.102        4.691            1      421.371      296.601      197.411
      958        1.222        4.681            0      421.778      298.642      188.278
      959        0.928        4.670            0      421.565      298.630      205.034
      960        1.031        4.661            0      420.915      281.740      200.828
      961        0.960        4.627            0      417.269      279.952      198.639
      962        1.042        4.677            1      418.316      296.516      198.275
      963        1.038        4.711            0      424.043      316.404      194.549
      964        1.050        4.604            0      415.708      297.331      194.100
      965        1.038        4.653            0      419.930      274.258      189.474
      966        1.094        4.657            1      417.196      249.971      204.137
      967        1.006        4.656            0      418.191      251.827      197.261
      968        1.014        4.670            0      419.554      256.668      202.981
      969        0.902        4.678            0      421.593      232.808      198.504
      970        0.973        4.636            1      417.810      222.119      199.020
      971        0.940        4.667            0      420.941      271.641      198.930
      972        1.042        4.689            0      418.182      244.983      195.263
      973        0.918        4.661            0      417.813      255.256      200.764
      974        1.077        4.690            0      418.726      282.613      198.747
      975        0.906        4.679            0      420.516      276.400      198.122
      976        1.045        4.617            0      416.370      273.160      194.993
      977        0.980        4.660            0      417.504      263.847      201.197
      978        0.967        4.697            0      421.584      300.721      202.170
      979        0.921        4.668            0      419.645      261.872      197.147
      980        0.975        4.722            0      424.264      279.166      198.676
      981        0.985        4.741            0      427.115      254.558      204.979
      982        0.851        4.687            0      421.946      268.594      197.829
      983        0.903        4.665            1      422.621      281.942      197.440
      984        0.958        4.724            0      425.879      269.297      203.486
      985        0.958        4.633            1      419.262      256.146      204.300
      986        1.017        4.648            0      416.311      283.775      203.176
      987        1.036        4.659            1      417.399      285.258      196.689
      988        0.963        4.671            0      421.463      257.769      206.644
      989        0.953        4.695            0      421.726      286.715      196.727
      990        1.003        4.636            0      418.842      301.758      198.804
      991        1.001        4.709            0      422.391      265.531      197.454
      992        1.005        4.652            0      417.245      254.604      201.211
      993        0.907        4.646            0      421.437      280.589      198.222
      994        1.022        4.692            0      423.450      258.941      197.475
      995        1.004        4.660            0      417.683      253.743      196.354
      996        0.900        4.641            0      414.734      244.254      200.428
      997        1.078        4.707            1      424.998      266.824      200.459
      998        1.021        4.707            0      419.640      265.277      200.246
      999        0.916        4.660            0      421.241      255.722      197.728
     1000        0.937        4.689            0      420.283      250.916      203.834
